SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
20MICRONS,EQ,203.96,208.97,203.23,205.71,203.23,56895,117.52,2026-09-17
21STCENMGM,EQ,39.1,39.1,37.7,38.62,38.37,4772,1.82,2026-09-17
360ONE,EQ,1041.0,1065.0,1037.1,1061.3,1045.6,442034,4668.35,2026-09-17
3BBLACKBIO,EQ,1299.7,1317.1,1283.2,1290.8,1292.6,5794,75.01,2026-09-17
3MINDIA,EQ,32040.0,32640.0,31710.0,32530.0,31935.0,2039,657.13,2026-09-17
3PLAND,EQ,31.5,31.98,30.3,31.4,31.28,1763,0.55,2026-09-17
5PAISA,EQ,317.65,323.75,313.0,315.4,316.85,21052,66.77,2026-09-17
63MOONS,EQ,840.05,887.6,839.35,872.65,848.15,268694,2345.81,2026-09-17
A2ZINFRA,EQ,14.65,15.3,14.65,15.01,14.7,128009,19.06,2026-09-17
AAATECH,EQ,93.0,93.0,83.8,84.57,92.54,203794,174.05,2026-09-17
AADHARHFC,EQ,455.2,470.5,455.2,469.35,458.7,221612,1033.86,2026-09-17
AAKASH,EQ,8.71,9.09,8.71,8.92,8.82,45636,4.03,2026-09-17
AAREYDRUGS,EQ,102.49,102.96,100.0,101.72,99.94,178022,180.51,2026-09-17
AARON,EQ,125.34,126.98,121.8,124.42,124.71,3825,4.75,2026-09-17
AARTIDRUGS,EQ,419.2,437.7,419.2,428.35,424.3,120340,518.55,2026-09-17
AARTIIND,EQ,469.9,482.95,469.5,476.6,472.85,315130,1507.63,2026-09-17
AARTIPHARM,EQ,811.0,836.0,801.95,826.95,813.0,244047,2006.15,2026-09-17
AARVI,EQ,141.49,142.9,138.0,140.82,140.07,6902,9.63,2026-09-17
AASTHA,EQ,75.85,77.8,74.5,76.78,74.33,223352,170.08,2026-09-17
AAVAS,EQ,1272.5,1302.2,1272.5,1291.8,1282.5,36253,467.88,2026-09-17
ABANSENT,EQ,26.03,27.0,25.65,26.61,27.0,14334,3.77,2026-09-17
ABB,EQ,6980.0,7168.0,6975.5,7130.5,6980.0,207124,14682.02,2026-09-17
ABBOTINDIA,EQ,26125.0,26280.0,25830.0,25910.0,26125.0,5141,1337.73,2026-09-17
ABCAPITAL,EQ,382.0,391.55,381.45,390.0,381.3,2783223,10804.76,2026-09-17
ABCOTS,EQ,207.8,215.0,207.01,210.83,204.63,17379,36.76,2026-09-17
ABDL,EQ,652.35,657.4,636.95,653.1,647.55,560511,3638.81,2026-09-17
ABFRL,EQ,49.54,50.63,49.41,50.45,49.74,2416858,1214.01,2026-09-17
ABGSEC,EQ,114.54,114.54,112.84,113.07,113.74,39,0.04,2026-09-17
ABLBL,EQ,82.2,84.18,81.88,82.41,82.4,1289753,1071.06,2026-09-17
ABMKNO,EQ,175.01,178.0,174.0,174.37,171.04,452,0.8,2026-09-17
ABREL,EQ,1233.4,1264.6,1231.9,1257.4,1233.4,85481,1071.21,2026-09-17
ABSL10BANK,EQ,168.13,168.13,164.0,164.39,164.83,2339,3.86,2026-09-17
ABSLAMC,EQ,1055.6,1101.2,1042.6,1090.1,1058.4,206442,2228.93,2026-09-17
ABSLBANETF,EQ,57.55,58.0,57.35,57.61,57.68,29639,17.08,2026-09-17
ABSLLIQUID,EQ,995.0,1000.01,995.0,1000.0,1000.0,12180,121.8,2026-09-17
ABSLMSCIN,EQ,28.65,28.76,28.57,28.72,28.46,249,0.07,2026-09-17
ABSLNN50ET,EQ,74.64,75.12,74.28,74.81,74.27,71455,53.38,2026-09-17
ABSLPSE,EQ,10.0,10.1,9.84,9.93,10.0,98835,9.84,2026-09-17
ACC,EQ,1226.8,1240.4,1225.0,1232.5,1226.6,67608,833.21,2026-09-17
ACCELYA,EQ,1125.5,1125.7,1115.1,1122.0,1116.1,4835,54.26,2026-09-17
ACE,EQ,1149.7,1213.2,1141.0,1205.6,1149.7,685925,8139.09,2026-09-17
ACEINTEG,EQ,18.0,18.09,17.42,18.0,17.61,1662,0.3,2026-09-17
ACGL,EQ,1795.0,1795.0,1726.0,1774.0,1769.4,343,6.07,2026-09-17
ACI,EQ,461.95,469.2,456.35,462.4,461.45,272058,1262.38,2026-09-17
ACL,EQ,43.4,43.4,40.7,41.98,42.7,19853,8.26,2026-09-17
ACMESOLAR,EQ,413.05,420.35,403.4,411.3,418.0,1167673,4780.37,2026-09-17
ACUTAAS,EQ,3343.0,3366.0,3282.0,3315.1,3344.7,182520,6064.72,2026-09-17
ADANIENSOL,EQ,1346.0,1386.8,1336.5,1386.8,1349.2,1185354,16102.24,2026-09-17
ADANIENT,EQ,2930.1,2945.0,2907.0,2923.2,2920.0,588066,17224.11,2026-09-17
ADANIGREEN,EQ,1268.5,1291.0,1261.5,1274.2,1270.2,717317,9108.58,2026-09-17
ADANIPORTS,EQ,1731.0,1738.8,1725.1,1738.3,1723.8,791353,13720.9,2026-09-17
ADANIPOWER,EQ,202.34,205.92,202.3,205.92,202.34,8794789,17992.23,2026-09-17
ADDIND,EQ,79.0,84.0,73.05,78.45,79.0,31,0.02,2026-09-17
ADFFOODS,EQ,267.15,276.0,264.1,267.75,267.15,147251,398.68,2026-09-17
ADL,EQ,71.91,73.5,70.4,72.03,71.91,233,0.17,2026-09-17
ADOR,EQ,1546.5,1589.0,1535.1,1564.3,1536.2,26842,419.73,2026-09-17
ADROITINFO,EQ,11.45,11.45,10.9,11.22,11.2,20188,2.25,2026-09-17
